,Unnamed: 0,filepath,size(byte),traditional(us),dadi-5M(us),dadi-10M(us),dadi-100M(us)
686,686,/usr/share/gdb/auto-load/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28-gdb.py,2387,7.71,283.8333333333333,143.33333333333334,25.214285714285715
687,687,/usr/share/perl5/Debconf/Element/Editor/Multiselect.pm,916,2.99,109.16666666666667,54.333333333333336,9.757142857142858
688,688,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Ccc/NK.pl,773,2.46,86.16666666666667,42.833333333333336,7.985714285714286
689,689,/var/lib/dpkg/info/libx11-6:amd64.md5sums,497,1.6300000000000001,60.833333333333336,29.333333333333332,5.7
690,690,/var/lib/dpkg/info/debconf.templates,143672,427.98,14384.833333333334,7195.833333333333,1234.3
691,691,/var/lib/dpkg/info/libp11-kit0:amd64.symbols,5206,15.68,533.5,267.6666666666667,47.01428571428571
692,692,/usr/lib/x86_64-linux-gnu/gconv/ISO8859-5.so,18544,55.800000000000004,1869.1666666666667,937.5,160.55714285714285
693,693,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Jg/Ain.pl,551,1.8,67.83333333333333,33.5,6.1
694,694,/usr/lib/x86_64-linux-gnu/perl-base/File/Temp.pm,84473,251.9,8457.166666666666,4235.5,727.9
695,695,/usr/share/perl5/Debconf/DbDriver/Cache.pm,4825,14.59,494.8333333333333,249.0,43.042857142857144
696,696,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/WB/MN.pl,633,2.02,75.83333333333333,37.0,6.9
697,697,/usr/lib/x86_64-linux-gnu/libsemanage.so.1,269600,802.53,57486.5,24799.666666666668,2316.8142857142857
698,698,/usr/lib/x86_64-linux-gnu/libbrotlienc.so.1,587848,1762.86,58660.166666666664,29365.833333333332,5040.5
699,699,/var/lib/dpkg/info/libdb5.3:amd64.triggers,67,0.44000000000000006,38.166666666666664,16.166666666666664,3.2142857142857144
700,700,/var/lib/dpkg/info/libdebconfclient0:amd64.triggers,67,0.36,18.833333333333332,10.0,2.0428571428571427
701,701,/lib/x86_64-linux-gnu/security/pam_keyinit.so,14176,42.31,1511.5,718.1666666666666,124.01428571428572
702,702,/lib/x86_64-linux-gnu/security/pam_pwhistory.so,18272,54.58,1840.1666666666667,920.5,158.87142857142857
703,703,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Nv/40000.pl,542,1.87,67.5,33.5,6.1
704,704,/etc/rc5.d,4096,0.18,5.5,3.5,0.9285714285714286
705,705,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Sc/Knda.pl,621,2.02,72.16666666666667,36.0,6.7
706,706,/var/lib/dpkg/info/bsdutils.list,957,2.98,104.83333333333333,54.666666666666664,9.7
707,707,/lib/x86_64-linux-gnu/security/pam_permit.so,14176,42.63,1430.1666666666667,715.8333333333334,122.92857142857143
708,708,/lib/x86_64-linux-gnu/libmvec-2.31.so,174488,519.46,54667.833333333336,23329.0,1612.8714285714286
709,709,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Ccc/A.pl,1754,5.449999999999999,204.5,98.33333333333333,16.985714285714284
